Lvl 77	1,035,685	1,643,120	2,378,565	3,415,400	4,544,130
Lvl 78	1,120,385	1,771,320	2,558,265	3,670,100	4,877,830
Lvl 79	1,211,085	1,908,520	2,750,965	3,942,800	5,235,530
Lvl 80	1,308,285	2,055,220	2,957,665	4,234,500	5,619,230
Lvl 81	1,412,485	2,211,920	3,179,365	4,546,200	6,030,930
Lvl 82	1,524,185	2,379,620	3,417,065	4,879,900	6,472,630
Lvl 83	1,643,885	2,559,320	3,671,765	5,237,600	6,949,330
Lvl 84	1,772,085	2,752,020	3,944,465	5,621,300	7,466,030
Lvl 85	1,909,285	2,958,720	4,236,165	6,033,000	8,027,730
Lvl 86	2,055,985	3,180,420	4,547,865	6,474,700	8,639,430
Lvl 87	2,212,685	3,418,120	4,881,565	6,951,400	9,306,130
Lvl 88	2,380,385	3,672,820	5,239,265	7,468,100	10,032,830
Lvl 89	2,560,085	3,945,520	5,622,965	8,029,800	10,824,530
Lvl 90	2,752,785	4,237,220	6,034,665	8,641,500	11,686,230
Lvl 91	2,959,485	4,548,920	6,476,365	9,308,200	12,622,930
Lvl 92	3,181,185	4,882,620	6,953,065	10,034,900	13,639,630
Lvl 93	3,418,885	5,240,320	7,469,765	10,826,600	14,741,330
Lvl 94	3,673,585	5,624,020	8,031,465	11,688,300	15,933,030
Lvl 95	3,946,285	6,035,720	8,643,165	12,625,000	17,219,730
Lvl 96	4,237,985	6,477,420	9,309,865	13,641,700	18,606,430
Lvl 97	4,549,685	6,954,120	10,036,565	14,743,400	20,103,130
Lvl 98	4,883,385	7,470,820	10,828,265	15,935,100	21,719,830
Lvl 99	5,241,085	8,032,520	11,689,965	17,221,800	23,466,530
Lvl 100	5,624,785	8,644,220	12,626,665	18,608,500	25,353,230
